Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date
XXX,journalArticle,2020,Adnan Darwiche,Three Modern Roles for Logic in AI,,,,10.1145/3375395.3389131,http://arxiv.org/abs/2004.08599v1,"We consider three modern roles for logic in artificial intelligence, which
are based on the theory of tractable Boolean circuits: (1) logic as a basis for
computation, (2) logic for learning from a combination of data and knowledge,
and (3) logic for reasoning about the behavior of machine learning systems.",2022-11-13 15:58:11
XXX,journalArticle,2021,Roman V. Yampolskiy,AI Risk Skepticism,,,,,http://arxiv.org/abs/2105.02704v3,"In this work, we survey skepticism regarding AI risk and show parallels with
other types of scientific skepticism. We start by classifying different types
of AI Risk skepticism and analyze their root causes. We conclude by suggesting
some intervention approaches, which may be successful in reducing AI risk
skepticism, at least amongst artificial intelligence researchers.",2022-11-13 15:58:12
XXX,journalArticle,2021,"Ajay Krishnan, Niranj Jyothish, Xun Jia",Using reinforcement learning to design an AI assistantfor a satisfying co-op experience,,,,,http://arxiv.org/abs/2105.03414v1,"In this project, we designed an intelligent assistant player for the
single-player game Space Invaders with the aim to provide a satisfying co-op
experience. The agent behaviour was designed using reinforcement learning
techniques and evaluated based on several criteria. We validate the hypothesis
that an AI-driven computer player can provide a satisfying co-op experience.",2022-11-13 15:58:12
XXX,journalArticle,2021,"Domonkos Czifra, Endre Csóka, Zsolt Zombori, Géza Makay",Towards solving the 7-in-a-row game,,,,,http://arxiv.org/abs/2107.05363v1,"Our paper explores the game theoretic value of the 7-in-a-row game. We reduce
the problem to solving a finite board game, which we target using Proof Number
Search. We present a number of heuristic improvements to Proof Number Search
and examine their effect within the context of this particular game. Although
our paper does not solve the 7-in-a-row game, our experiments indicate that we
have made significant progress towards it.",2022-11-13 15:58:13
XXX,journalArticle,2022,"Jinxin Ding, Yuxin Huang, Keyang Ni, Xueyao Wang, Yinxiao Wang, Yucheng Wang",Intellectual Property Evaluation Utilizing Machine Learning,,,,,http://arxiv.org/abs/2208.08611v1,"Intellectual properties is increasingly important in the economic
development. To solve the pain points by traditional methods in IP evaluation,
we are developing a new technology with machine learning as the core. We have
built an online platform and will expand our business in the Greater Bay Area
with plans.",2022-11-13 15:58:13
XXX,journalArticle,1995,"C. G. Giraud-Carrier, T. R. Martinez",An Integrated Framework for Learning and Reasoning,"Journal of Artificial Intelligence Research, Vol 3, (1995),
  147-185",,,,http://arxiv.org/abs/cs/9508102v1,"Learning and reasoning are both aspects of what is considered to be
intelligence. Their studies within AI have been separated historically,
learning being the topic of machine learning and neural networks, and reasoning
falling under classical (or symbolic) AI. However, learning and reasoning are
in many ways interdependent. This paper discusses the nature of some of these
interdependencies and proposes a general framework called FLARE, that combines
inductive learning using prior knowledge together with reasoning in a
propositional setting. Several examples that test the framework are presented,
including classical induction, many important reasoning protocols and two
simple expert systems.",2022-11-13 15:58:14
XXX,journalArticle,2003,"Ulla Bergsten, Johan Schubert, Per Svensson",Beslutstödssystemet Dezzy - en översikt,"in Dokumentation 7 juni av Seminarium och fackutst\""allning om
  samband, sensorer och datorer f\""or ledningssystem till f\""orsvaret
  (MILINF'89), pp. 07B2:19-31, Enk\""oping, June 1989, Telub AB, V\""axj\""o, 1989",,,,http://arxiv.org/abs/cs/0305033v1,"Within the scope of the three-year ANTI-SUBMARINE WARFARE project of the
National Defence Research Establishment, the INFORMATION SYSTEMS subproject has
developed the demonstration prototype Dezzy for handling and analysis of
intelligence reports concerning foreign underwater activities.
  -----
  Inom ramen f\""or FOA:s tre{\aa}riga huvudprojekt UB{\AA}TSSKYDD har
delprojekt INFORMATIONSSYSTEM utvecklat demonstrationsprototypen Dezzy till ett
beslutsst\""odsystem f\""or hantering och analys av underr\""attelser om
fr\""ammande undervattensverksamhet.",2022-11-13 15:58:14
XXX,journalArticle,2003,"Joseph Y. Halpern, Riccardo Pucella",A logic for reasoning about upper probabilities,"Journal of AI Research 17, 2001, pp. 57-81",,,,http://arxiv.org/abs/cs/0307069v1,"We present a propositional logic %which can be used to reason about the
uncertainty of events, where the uncertainty is modeled by a set of probability
measures assigning an interval of probability to each event. We give a sound
and complete axiomatization for the logic, and show that the satisfiability
problem is NP-complete, no harder than satisfiability for propositional logic.",2022-11-13 15:58:15
XXX,journalArticle,2003,"Marcello Balduccini, Michael Gelfond",Diagnostic reasoning with A-Prolog,TPLP Vol 3(4&5) (2003) 425-461,,,,http://arxiv.org/abs/cs/0312040v1,"In this paper we suggest an architecture for a software agent which operates
a physical device and is capable of making observations and of testing and
repairing the device's components. We present simplified definitions of the
notions of symptom, candidate diagnosis, and diagnosis which are based on the
theory of action language ${\cal AL}$. The definitions allow one to give a
simple account of the agent's behavior in which many of the agent's tasks are
reduced to computing stable models of logic programs.",2022-11-13 15:58:15
XXX,journalArticle,2006,"Shane Legg, Marcus Hutter",A Formal Measure of Machine Intelligence,"Proc. 15th Annual Machine Learning Conference of {B}elgium and The
  Netherlands (Benelearn 2006) pages 73-80",,,,http://arxiv.org/abs/cs/0605024v1,"A fundamental problem in artificial intelligence is that nobody really knows
what intelligence is. The problem is especially acute when we need to consider
artificial systems which are significantly different to humans. In this paper
we approach this problem in the following way: We take a number of well known
informal definitions of human intelligence that have been given by experts, and
extract their essential features. These are then mathematically formalised to
produce a general measure of intelligence for arbitrary machines. We believe
that this measure formally captures the concept of machine intelligence in the
broadest reasonable sense.",2022-11-13 15:58:16
XXX,journalArticle,2009,"Eugen Staab, Martin Caminada",Assessing the Impact of Informedness on a Consultant's Profit,,,,,http://arxiv.org/abs/0909.0901v1,"We study the notion of informedness in a client-consultant setting. Using a
software simulator, we examine the extent to which it pays off for consultants
to provide their clients with advice that is well-informed, or with advice that
is merely meant to appear to be well-informed. The latter strategy is
beneficial in that it costs less resources to keep up-to-date, but carries the
risk of a decreased reputation if the clients discover the low level of
informedness of the consultant. Our experimental results indicate that under
different circumstances, different strategies yield the optimal results (net
profit) for the consultants.",2022-11-13 15:58:16
XXX,journalArticle,2011,"J. E. Laird, R. E. Wray",An Architectural Approach to Ensuring Consistency in Hierarchical Execution,"Journal Of Artificial Intelligence Research, Volume 19, pages
  355-398, 2003",,,10.1613/jair.1142,http://arxiv.org/abs/1106.4871v1,"Hierarchical task decomposition is a method used in many agent systems to
organize agent knowledge. This work shows how the combination of a hierarchy
and persistent assertions of knowledge can lead to difficulty in maintaining
logical consistency in asserted knowledge. We explore the problematic
consequences of persistent assumptions in the reasoning process and introduce
novel potential solutions. Having implemented one of the possible solutions,
Dynamic Hierarchical Justification, its effectiveness is demonstrated with an
empirical analysis.",2022-11-13 15:58:17
XXX,journalArticle,2012,"Mauricio Araya, Olivier Buffet, Vincent Thomas",Near-Optimal BRL using Optimistic Local Transitions,,,,,http://arxiv.org/abs/1206.4613v1,"Model-based Bayesian Reinforcement Learning (BRL) allows a found
formalization of the problem of acting optimally while facing an unknown
environment, i.e., avoiding the exploration-exploitation dilemma. However,
algorithms explicitly addressing BRL suffer from such a combinatorial explosion
that a large body of work relies on heuristic algorithms. This paper introduces
BOLT, a simple and (almost) deterministic heuristic algorithm for BRL which is
optimistic about the transition function. We analyze BOLT's sample complexity,
and show that under certain parameters, the algorithm is near-optimal in the
Bayesian sense with high probability. Then, experimental results highlight the
key differences of this method compared to previous work.",2022-11-13 15:58:17
XXX,journalArticle,2012,"Nitin Yadav, Sebastian Sardina",Reasoning about Agent Programs using ATL-like Logics,"In Proceedings of the European Conference on Logics in Artificial
  Intelligence (JELIA), volume 7519 of LNCS, pages 437-449, 2012",,,,http://arxiv.org/abs/1207.3874v1,"We propose a variant of Alternating-time Temporal Logic (ATL) grounded in the
agents' operational know-how, as defined by their libraries of abstract plans.
Inspired by ATLES, a variant itself of ATL, it is possible in our logic to
explicitly refer to ""rational"" strategies for agents developed under the
Belief-Desire-Intention agent programming paradigm. This allows us to express
and verify properties of BDI systems using ATL-type logical frameworks.",2022-11-13 15:58:18
XXX,journalArticle,2012,Michael Maher,Relative Expressiveness of Defeasible Logics,"Theory and Practice of Logic Programming 12 (4-5), 793--810, 2012",,,,http://arxiv.org/abs/1210.1785v1,"We address the relative expressiveness of defeasible logics in the framework
DL. Relative expressiveness is formulated as the ability to simulate the
reasoning of one logic within another logic. We show that such simulations must
be modular, in the sense that they also work if applied only to part of a
theory, in order to achieve a useful notion of relative expressiveness. We
present simulations showing that logics in DL with and without the capability
of team defeat are equally expressive. We also show that logics that handle
ambiguity differently -- ambiguity blocking versus ambiguity propagating --
have distinct expressiveness, with neither able to simulate the other under a
different formulation of expressiveness.",2022-11-13 15:58:19
XXX,journalArticle,2012,"Antonio Pisasale, Domenico Cantone",An Experiment on the Connection between the DLs' Family DL<ForAllPiZero> and the Real World,,,,,http://arxiv.org/abs/1211.4957v2,"This paper describes the analysis of a selected testbed of Semantic Web
ontologies, by a SPARQL query, which determines those ontologies that can be
related to the description logic DL<ForAllPiZero>, introduced in [4] and
studied in [9]. We will see that a reasonable number of them is expressible
within such computationally efficient language. We expect that, in a long-term
view, a temporalization of description logics, and consequently, of OWL(2), can
open new perspectives for the inclusion in this language of a greater number of
ontologies of the testbed and, hopefully, of the ""real world"".",2022-11-13 15:58:20
XXX,journalArticle,2013,"Paul J. Krause, John Fox, Philip Judson",Is There a Role for Qualitative Risk Assessment?,,,,,http://arxiv.org/abs/1302.4970v1,"Classically, risk is characterized by a point value probability indicating
the likelihood of occurrence of an adverse effect. However, there are domains
where the attainability of objective numerical risk characterizations is
increasingly being questioned. This paper reviews the arguments in favour of
extending classical techniques of risk assessment to incorporate meaningful
qualitative and weak quantitative risk characterizations. A technique in which
linguistic uncertainty terms are defined in terms of patterns of argument is
then proposed. The technique is demonstrated using a prototype computer-based
system for predicting the carcinogenic risk due to novel chemical compounds.",2022-11-13 15:58:20
XXX,journalArticle,2013,Michael Pittarelli,Anytime Decision Making with Imprecise Probabilities,,,,,http://arxiv.org/abs/1302.6837v1,"This paper examines methods of decision making that are able to accommodate
limitations on both the form in which uncertainty pertaining to a decision
problem can be realistically represented and the amount of computing time
available before a decision must be made. The methods are anytime algorithms in
the sense of Boddy and Dean 1991. Techniques are presented for use with Frisch
and Haddawy's [1992] anytime deduction system, with an anytime adaptation of
Nilsson's [1986] probabilistic logic, and with a probabilistic database model.",2022-11-13 15:58:21
XXX,journalArticle,2013,"Lisa J. Burnell, Eric J. Horvitz",A Synthesis of Logical and Probabilistic Reasoning for Program Understanding and Debugging,,,,,http://arxiv.org/abs/1303.1488v1,"We describe the integration of logical and uncertain reasoning methods to
identify the likely source and location of software problems. To date, software
engineers have had few tools for identifying the sources of error in complex
software packages. We describe a method for diagnosing software problems
through combining logical and uncertain reasoning analyses. Our preliminary
results suggest that such methods can be of value in directing the attention of
software engineers to paths of an algorithm that have the highest likelihood of
harboring a programming error.",2022-11-13 15:58:21
XXX,journalArticle,2013,Paul E. Lehner,Inference Policies,,,,,http://arxiv.org/abs/1304.1516v1,"It is suggested that an AI inference system should reflect an inference
policy that is tailored to the domain of problems to which it is applied -- and
furthermore that an inference policy need not conform to any general theory of
rational inference or induction. We note, for instance, that Bayesian reasoning
about the probabilistic characteristics of an inference domain may result in
the specification of an nonBayesian procedure for reasoning within the
inference domain. In this paper, the idea of an inference policy is explored in
some detail. To support this exploration, the characteristics of some standard
and nonstandard inference policies are examined.",2022-11-13 15:58:22
XXX,journalArticle,2013,David Heckerman,An Empirical Comparison of Three Inference Methods,,,,,http://arxiv.org/abs/1304.2357v2,"In this paper, an empirical evaluation of three inference methods for
uncertain reasoning is presented in the context of Pathfinder, a large expert
system for the diagnosis of lymph-node pathology. The inference procedures
evaluated are (1) Bayes' theorem, assuming evidence is conditionally
independent given each hypothesis; (2) odds-likelihood updating, assuming
evidence is conditionally independent given each hypothesis and given the
negation of each hypothesis; and (3) a inference method related to the
Dempster-Shafer theory of belief. Both expert-rating and decision-theoretic
metrics are used to compare the diagnostic accuracy of the inference methods.",2022-11-13 15:58:23
XXX,journalArticle,2013,Daniel Hunter,Dempster-Shafer vs. Probabilistic Logic,,,,,http://arxiv.org/abs/1304.2713v1,"The combination of evidence in Dempster-Shafer theory is compared with the
combination of evidence in probabilistic logic. Sufficient conditions are
stated for these two methods to agree. It is then shown that these conditions
are minimal in the sense that disagreement can occur when any one of them is
removed. An example is given in which the traditional assumption of conditional
independence of evidence on hypotheses holds and a uniform prior is assumed,
but probabilistic logic and Dempster's rule give radically different results
for the combination of two evidence events.",2022-11-13 15:58:23
XXX,journalArticle,2013,"John S. Breese, Edison Tse",Integrating Logical and Probabilistic Reasoning for Decision Making,,,,,http://arxiv.org/abs/1304.2751v1,"We describe a representation and a set of inference methods that combine
logic programming techniques with probabilistic network representations for
uncertainty (influence diagrams). The techniques emphasize the dynamic
construction and solution of probabilistic and decision-theoretic models for
complex and uncertain domains. Given a query, a logical proof is produced if
possible; if not, an influence diagram based on the query and the knowledge of
the decision domain is produced and subsequently solved. A uniform declarative,
first-order, knowledge representation is combined with a set of integrated
inference procedures for logical, probabilistic, and decision-theoretic
reasoning.",2022-11-13 15:58:24
XXX,journalArticle,2013,Dimiter Dobrev,Giving the AI definition a form suitable for the engineer,,,,,http://arxiv.org/abs/1312.5713v2,"Artificial Intelligence - what is this? That is the question! In earlier
papers we already gave a formal definition for AI, but if one desires to build
an actual AI implementation, the following issues require attention and are
treated here: the data format to be used, the idea of Undef and Nothing
symbols, various ways for defining the ""meaning of life"", and finally, a new
notion of ""incorrect move"". These questions are of minor importance in the
theoretical discussion, but we already know the answer of the question ""Does AI
exist?"" Now we want to make the next step and to create this program.",2022-11-13 15:58:24
XXX,journalArticle,2014,"Joseph Y. Halpern, Riccardo Pucella",A Logic for Reasoning about Upper Probabilities,,,,,http://arxiv.org/abs/1408.1485v1,"We present a propositional logic to reason about the uncertainty of events,
where the uncertainty is modeled by a set of probability measures assigning an
interval of probability to each event. We give a sound and complete
axiomatization for the logic, and show that the satisfiability problem is
NP-complete, no harder than satisfiability for propositional logic.",2022-11-13 15:58:25
XXX,journalArticle,2015,"Nate Soares, Benja Fallenstein",Toward Idealized Decision Theory,,,,,http://arxiv.org/abs/1507.01986v1,"This paper motivates the study of decision theory as necessary for aligning
smarter-than-human artificial systems with human interests. We discuss the
shortcomings of two standard formulations of decision theory, and demonstrate
that they cannot be used to describe an idealized decision procedure suitable
for approximation by artificial systems. We then explore the notions of policy
selection and logical counterfactuals, two recent insights into decision theory
that point the way toward promising paths for future research.",2022-11-13 15:58:26
XXX,journalArticle,2016,Amnon H. Eden,"The Singularity Controversy, Part I: Lessons Learned and Open Questions: Conclusions from the Battle on the Legitimacy of the Debate",,,,10.13140/RG.2.1.3416.6809,http://arxiv.org/abs/1601.05977v2,"This report seeks to inform policy makers on the nature and the merit of the
arguments for and against the concerns associated with a potential
technological singularity.
  Part I describes the lessons learned from our investigation of the subject,
separating the argu-ments of merit from the fallacies and misconceptions that
confuse the debate and undermine its rational resolution.",2022-11-13 15:58:26
XXX,journalArticle,2016,"Stuart Russell, Daniel Dewey, Max Tegmark",Research Priorities for Robust and Beneficial Artificial Intelligence,AI Magazine 36:4 (2015),,,,http://arxiv.org/abs/1602.03506v1,"Success in the quest for artificial intelligence has the potential to bring
unprecedented benefits to humanity, and it is therefore worthwhile to
investigate how to maximize these benefits while avoiding potential pitfalls.
This article gives numerous examples (which should by no means be construed as
an exhaustive list) of such worthwhile research aimed at ensuring that AI
remains robust and beneficial.",2022-11-13 15:58:27
XXX,journalArticle,2016,"Carissa Schoenick, Peter Clark, Oyvind Tafjord, Peter Turney, Oren Etzioni",Moving Beyond the Turing Test with the Allen AI Science Challenge,,,,,http://arxiv.org/abs/1604.04315v3,"Given recent successes in AI (e.g., AlphaGo's victory against Lee Sedol in
the game of GO), it's become increasingly important to assess: how close are AI
systems to human-level intelligence? This paper describes the Allen AI Science
Challenge---an approach towards that goal which led to a unique Kaggle
Competition, its results, the lessons learned, and our next steps.",2022-11-13 15:58:28
XXX,journalArticle,2016,"Tom Everitt, Marcus Hutter",Avoiding Wireheading with Value Reinforcement Learning,,,,,http://arxiv.org/abs/1605.03143v1,"How can we design good goals for arbitrarily intelligent agents?
Reinforcement learning (RL) is a natural approach. Unfortunately, RL does not
work well for generally intelligent agents, as RL agents are incentivised to
shortcut the reward sensor for maximum reward -- the so-called wireheading
problem. In this paper we suggest an alternative to RL called value
reinforcement learning (VRL). In VRL, agents use the reward signal to learn a
utility function. The VRL setup allows us to remove the incentive to wirehead
by placing a constraint on the agent's actions. The constraint is defined in
terms of the agent's belief distributions, and does not require an explicit
specification of which actions constitute wireheading.",2022-11-13 15:58:28
XXX,journalArticle,2017,Sebastian Benthall,Don't Fear the Reaper: Refuting Bostrom's Superintelligence Argument,,,,,http://arxiv.org/abs/1702.08495v2,"In recent years prominent intellectuals have raised ethical concerns about
the consequences of artificial intelligence. One concern is that an autonomous
agent might modify itself to become ""superintelligent"" and, in supremely
effective pursuit of poorly specified goals, destroy all of humanity. This
paper considers and rejects the possibility of this outcome. We argue that this
scenario depends on an agent's ability to rapidly improve its ability to
predict its environment through self-modification. Using a Bayesian model of a
reasoning agent, we show that there are important limitations to how an agent
may improve its predictive ability through self-modification alone. We conclude
that concern about this artificial intelligence outcome is misplaced and better
directed at policy questions around data access and storage.",2022-11-13 15:58:29
XXX,journalArticle,2017,Christopher A. Tucker,A proposal for ethically traceable artificial intelligence,,,,,http://arxiv.org/abs/1703.01908v2,"Although the problem of a critique of robotic behavior in near-unanimous
agreement to human norms seems intractable, a starting point of such an
ambition is a framework of the collection of knowledge a priori and experience
a posteriori categorized as a set of synthetical judgments available to the
intelligence, translated into computer code. If such a proposal were
successful, an algorithm with ethically traceable behavior and cogent
equivalence to human cognition is established. This paper will propose the
application of Kant's critique of reason to current programming constructs of
an autonomous intelligent system.",2022-11-13 15:58:29
XXX,journalArticle,2017,"Stuart Armstrong, Benjamin Levinstein",Low Impact Artificial Intelligences,,,,,http://arxiv.org/abs/1705.10720v1,"There are many goals for an AI that could become dangerous if the AI becomes
superintelligent or otherwise powerful. Much work on the AI control problem has
been focused on constructing AI goals that are safe even for such AIs. This
paper looks at an alternative approach: defining a general concept of `low
impact'. The aim is to ensure that a powerful AI which implements low impact
will not modify the world extensively, even if it is given a simple or
dangerous goal. The paper proposes various ways of defining and grounding low
impact, and discusses methods for ensuring that the AI can still be allowed to
have a (desired) impact despite the restriction. The end of the paper addresses
known issues with this approach and avenues for future research.",2022-11-13 15:58:30
XXX,journalArticle,2017,Virginia Dignum,Responsible Autonomy,,,,,http://arxiv.org/abs/1706.02513v1,"As intelligent systems are increasingly making decisions that directly affect
society, perhaps the most important upcoming research direction in AI is to
rethink the ethical implications of their actions. Means are needed to
integrate moral, societal and legal values with technological developments in
AI, both during the design process as well as part of the deliberation
algorithms employed by these systems. In this paper, we describe leading ethics
theories and propose alternative ways to ensure ethical behavior by artificial
systems. Given that ethics are dependent on the socio-cultural context and are
often only implicit in deliberation processes, methodologies are needed to
elicit the values held by designers and stakeholders, and to make these
explicit leading to better understanding and trust on artificial autonomous
systems.",2022-11-13 15:58:30
XXX,journalArticle,2017,"James Babcock, Janos Kramar, Roman V. Yampolskiy",Guidelines for Artificial Intelligence Containment,,,,,http://arxiv.org/abs/1707.08476v1,"With almost daily improvements in capabilities of artificial intelligence it
is more important than ever to develop safety software for use by the AI
research community. Building on our previous work on AI Containment Problem we
propose a number of guidelines which should help AI safety researchers to
develop reliable sandboxing software for intelligent programs of all levels.
Such safety container software will make it possible to study and analyze
intelligent artificial agent while maintaining certain level of safety against
information leakage, social engineering attacks and cyberattacks from within
the container.",2022-11-13 15:58:31
XXX,journalArticle,2017,"Pavel Naumov, Jia Tao",Together We Know How to Achieve: An Epistemic Logic of Know-How (Extended Abstract),"EPTCS 251, 2017, pp. 441-453",,,10.4204/EPTCS.251.32,http://arxiv.org/abs/1707.08759v1,"The existence of a coalition strategy to achieve a goal does not necessarily
mean that the coalition has enough information to know how to follow the
strategy. Neither does it mean that the coalition knows that such a strategy
exists. The paper studies an interplay between the distributed knowledge,
coalition strategies, and coalition ""know-how"" strategies. The main technical
result is a sound and complete trimodal logical system that describes the
properties of this interplay.",2022-11-13 15:58:31
XXX,journalArticle,2017,"Robert B. Allen, Eunsang Yang, Tatsawan Timakum",A Foundry of Human Activities and Infrastructures,,,,,http://arxiv.org/abs/1711.01927v1,"Direct representation knowledgebases can enhance and even provide an
alternative to document-centered digital libraries. Here we consider realist
semantic modeling of everyday activities and infrastructures in such
knowledgebases. Because we want to integrate a wide variety of topics, a
collection of ontologies (a foundry) and a range of other knowledge resources
are needed. We first consider modeling the routine procedures that support
human activities and technologies. Next, we examine the interactions of
technologies with aspects of social organization. Then, we consider approaches
and issues for developing and validating explanations of the relationships
among various entities.",2022-11-13 15:58:32
XXX,journalArticle,2017,"Yueh-Hua Wu, Shou-De Lin",A Low-Cost Ethics Shaping Approach for Designing Reinforcement Learning Agents,,,,,http://arxiv.org/abs/1712.04172v2,"This paper proposes a low-cost, easily realizable strategy to equip a
reinforcement learning (RL) agent the capability of behaving ethically. Our
model allows the designers of RL agents to solely focus on the task to achieve,
without having to worry about the implementation of multiple trivial ethical
patterns to follow. Based on the assumption that the majority of human
behavior, regardless which goals they are achieving, is ethical, our design
integrates human policy with the RL policy to achieve the target objective with
less chance of violating the ethical code that human beings normally obey.",2022-11-13 15:58:32
XXX,journalArticle,2018,Atrisha Sarkar,A Brandom-ian view of Reinforcement Learning towards strong-AI,,,,,http://arxiv.org/abs/1803.02912v1,"The analytic philosophy of Robert Brandom, based on the ideas of pragmatism,
paints a picture of sapience, through inferentialism. In this paper, we present
a theory, that utilizes essential elements of Brandom's philosophy, towards the
objective of achieving strong-AI. We do this by connecting the constitutive
elements of reinforcement learning and the Game Of Giving and Asking For
Reasons. Further, following Brandom's prescriptive thoughts, we restructure the
popular reinforcement learning algorithm A3C, and show that RL algorithms can
be tuned towards the objective of strong-AI.",2022-11-13 15:58:33
XXX,journalArticle,2018,"Christoph Benzmüller, Xavier Parent",First Experiments with a Flexible Infrastructure for Normative Reasoning,,,,,http://arxiv.org/abs/1804.02929v1,"A flexible infrastructure for normative reasoning is outlined. A small-scale
demonstrator version of the envisioned system has been implemented in the proof
assistant Isabelle/HOL by utilising the first authors universal logical
reasoning approach based on shallow semantical embeddings in meta-logic HOL.
The need for such a flexible reasoning infrastructure is motivated and
illustrated with a contrary-to-duty example scenario selected from the General
Data Protection Regulation.",2022-11-13 15:58:34
XXX,journalArticle,2018,Dimiter Dobrev,The IQ of Artificial Intelligence,"Serdica Journal of Computing, Vol. 13, Number 1-2, 2019, pp.41-70",,,,http://arxiv.org/abs/1806.04915v1,"All it takes to identify the computer programs which are Artificial
Intelligence is to give them a test and award AI to those that pass the test.
Let us say that the scores they earn at the test will be called IQ. We cannot
pinpoint a minimum IQ threshold that a program has to cover in order to be AI,
however, we will choose a certain value. Thus, our definition for AI will be
any program the IQ of which is above the chosen value. While this idea has
already been implemented in [3], here we will revisit this construct in order
to introduce certain improvements.",2022-11-13 15:58:34
XXX,journalArticle,2018,Daniele Funaro,Understanding the Meaning of Understanding,,,,,http://arxiv.org/abs/1806.05234v2,"Can we train a machine to detect if another machine has understood a concept?
In principle, this is possible by conducting tests on the subject of that
concept. However we want this procedure to be done by avoiding direct
questions. In other words, we would like to isolate the absolute meaning of an
abstract idea by putting it into a class of equivalence, hence without adopting
straight definitions or showing how this idea ""works"" in practice. We discuss
the metaphysical implications hidden in the above question, with the aim of
providing a plausible reference framework.",2022-11-13 15:58:35
